"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2012 - 10","137258","26.2","3","-25.0","26.2","3","50.0","0","0","-100.0"
"2012 - 11","137277","35","4","33.3","8.7","1","-66.7","0","0","NaN.0"
"2012 - 12","137295","26.2","3","-25.0","0","0","-100.0","0","0","NaN.0"
"2013 - 01","137314","8.7","1","-66.7","8.7","1","NaN.0","0","0","NaN.0"
"2013 - 02","137333","17.5","2","100.0","8.7","1","0.0","0","0","NaN.0"
"2013 - 03","137351","26.2","3","50.0","8.7","1","0.0","17.5","2","NaN.0"
"2013 - 04","137370","8.7","1","-66.7","8.7","1","0.0","0","0","-100.0"
"2013 - 05","137389","43.7","5","400.0","26.2","3","200.0","0","0","NaN.0"
"2013 - 06","137407","8.7","1","-80.0","0","0","-100.0","0","0","NaN.0"
"2013 - 07","137426","17.5","2","100.0","8.7","1","NaN.0","0","0","NaN.0"
"2013 - 08","137432","26.2","3","50.0","8.7","1","0.0","0","0","NaN.0"
"2013 - 09","137438","17.5","2","-33.3","8.7","1","0.0","0","0","NaN.0"
"2013 - 10","137444","8.7","1","-50.0","17.5","2","100.0","0","0","NaN.0"
"2013 - 11","137450","26.2","3","200.0","17.5","2","0.0","0","0","NaN.0"
"2013 - 12","137456","8.7","1","-66.7","0","0","-100.0","0","0","NaN.0"
"2014 - 01","137462","26.2","3","200.0","34.9","4","NaN.0","0","0","NaN.0"
"2014 - 02","137467","43.6","5","66.7","0","0","-100.0","0","0","NaN.0"
"2014 - 03","137473","26.2","3","-40.0","8.7","1","NaN.0","0","0","NaN.0"
"2014 - 04","137479","8.7","1","-66.7","0","0","-100.0","8.7","1","NaN.0"
"2014 - 05","137485","26.2","3","200.0","17.5","2","NaN.0","17.5","2","100.0"
"2014 - 06","137491","43.6","5","66.7","26.2","3","50.0","0","0","-100.0"
"2014 - 07","137497","34.9","4","-20.0","0","0","-100.0","0","0","NaN.0"
"2014 - 08","137510","34.9","4","0.0","26.2","3","NaN.0","17.5","2","NaN.0"
"2014 - 09","137524","8.7","1","-75.0","0","0","-100.0","0","0","-100.0"
"2014 - 10","137537","17.4","2","100.0","8.7","1","NaN.0","0","0","NaN.0"
"2014 - 11","137550","26.2","3","50.0","26.2","3","200.0","0","0","NaN.0"
"2014 - 12","137563","34.9","4","33.3","17.4","2","-33.3","0","0","NaN.0"
"2015 - 01","137577","17.4","2","-50.0","8.7","1","-50.0","0","0","NaN.0"
"2015 - 02","137590","26.2","3","50.0","8.7","1","0.0","8.7","1","NaN.0"
"2015 - 03","137603","34.9","4","33.3","0","0","-100.0","0","0","-100.0"
"2015 - 04","137616","17.4","2","-50.0","0","0","NaN.0","0","0","NaN.0"
"2015 - 05","137630","17.4","2","0.0","8.7","1","NaN.0","0","0","NaN.0"
"2015 - 06","137643","17.4","2","0.0","8.7","1","0.0","17.4","2","NaN.0"
"2015 - 07","137656","17.4","2","0.0","26.2","3","200.0","0","0","-100.0"
"2015 - 08","137681","17.4","2","0.0","0","0","-100.0","8.7","1","NaN.0"
"2015 - 09","137706","0","0","-100.0","17.4","2","NaN.0","0","0","-100.0"
"2015 - 10","137730","0","0","NaN.0","17.4","2","0.0","0","0","NaN.0"
"2015 - 11","137755","26.1","3","NaN.0","17.4","2","0.0","8.7","1","NaN.0"
"2015 - 12","137780","17.4","2","-33.3","17.4","2","0.0","8.7","1","0.0"
"2016 - 01","137805","17.4","2","0.0","34.8","4","100.0","0","0","-100.0"
"2016 - 02","137829","17.4","2","0.0","34.8","4","0.0","0","0","NaN.0"
"2016 - 03","137854","8.7","1","-50.0","8.7","1","-75.0","0","0","NaN.0"
"2016 - 04","137879","0","0","-100.0","8.7","1","0.0","0","0","NaN.0"
"2016 - 05","137904","43.5","5","NaN.0","26.1","3","200.0","8.7","1","NaN.0"
"2016 - 06","137928","26.1","3","-40.0","17.4","2","-33.3","0","0","-100.0"
"2016 - 07","137953","26.1","3","0.0","34.8","4","100.0","8.7","1","NaN.0"
"2016 - 08","137980","17.4","2","-33.3","8.7","1","-75.0","0","0","-100.0"
"2016 - 09","138008","8.7","1","-50.0","17.4","2","100.0","0","0","NaN.0"
"2016 - 10","138035","17.4","2","100.0","0","0","-100.0","8.7","1","NaN.0"
"2016 - 11","138063","26.1","3","50.0","0","0","NaN.0","8.7","1","0.0"
"2016 - 12","138090","17.4","2","-33.3","8.7","1","NaN.0","0","0","-100.0"
"2017 - 01","138118","26.1","3","50.0","26.1","3","200.0","0","0","NaN.0"
