"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2017 - 07","484354","54.5","22","-40.5","19.8","8","-20.0","9.9","4","33.3"
"2017 - 08","484941","47","19","-13.6","12.4","5","-37.5","4.9","2","-50.0"
"2017 - 09","485528","86.5","35","84.2","19.8","8","60.0","0","0","-100.0"
"2017 - 10","486115","83.9","34","-2.9","29.6","12","50.0","7.4","3","NaN.0"
"2017 - 11","486701","71.5","29","-14.7","22.2","9","-25.0","17.3","7","133.3"
"2017 - 12","487288","91.1","37","27.6","9.9","4","-55.6","4.9","2","-71.4"
"2018 - 01","487875","68.9","28","-24.3","19.7","8","100.0","24.6","10","400.0"
"2018 - 02","488462","54","22","-21.4","22.1","9","12.5","12.3","5","-50.0"
"2018 - 03","489049","81","33","50.0","24.5","10","11.1","17.2","7","40.0"
"2018 - 04","489636","85.8","35","6.1","31.9","13","30.0","4.9","2","-71.4"
"2018 - 05","490222","73.4","30","-14.3","9.8","4","-69.2","12.2","5","150.0"
"2018 - 06","490809","102.7","42","40.0","26.9","11","175.0","12.2","5","0.0"
"2018 - 07","491396","83","34","-19.0","26.9","11","0.0","9.8","4","-20.0"
"2018 - 08","491930","153.7","63","85.3","39","16","45.5","14.6","6","50.0"
"2018 - 09","492464","92.6","38","-39.7","19.5","8","-50.0","7.3","3","-50.0"
"2018 - 10","492999","77.9","32","-15.8","19.5","8","0.0","17","7","133.3"
"2018 - 11","493533","85.1","35","9.4","21.9","9","12.5","0","0","-100.0"
"2018 - 12","494067","157.9","65","85.7","26.7","11","22.2","19.4","8","NaN.0"
"2019 - 01","494601","82.5","34","-47.7","14.6","6","-45.5","9.7","4","-50.0"
"2019 - 02","495135","113.9","47","38.2","14.5","6","0.0","7.3","3","-25.0"
"2019 - 03","495669","147.7","61","29.8","38.7","16","166.7","16.9","7","133.3"
"2019 - 04","496204","212.8","88","44.3","16.9","7","-56.2","21.8","9","28.6"
"2019 - 05","496738","205.3","85","-3.4","19.3","8","14.3","16.9","7","-22.2"
"2019 - 06","497272","118.2","49","-42.4","7.2","3","-62.5","14.5","6","-14.3"
"2019 - 07","497806","57.9","24","-51.0","7.2","3","0.0","9.6","4","-33.3"
"2019 - 08","498287","69.8","29","20.8","12","5","66.7","2.4","1","-75.0"
"2019 - 09","498768","52.9","22","-24.1","14.4","6","20.0","7.2","3","200.0"
"2019 - 10","499250","69.7","29","31.8","7.2","3","-50.0","12","5","66.7"
"2019 - 11","499731","79.2","33","13.8","12","5","66.7","7.2","3","-40.0"
"2019 - 12","500212","105.6","44","33.3","16.8","7","40.0","19.2","8","166.7"
"2020 - 01","500693","88.7","37","-15.9","21.6","9","28.6","24","10","25.0"
"2020 - 02","501174","150.8","63","70.3","7.2","3","-66.7","14.4","6","-40.0"
"2020 - 03","501655","189","79","25.4","16.7","7","133.3","21.5","9","50.0"
"2020 - 04","502137","100.4","42","-46.8","9.6","4","-42.9","NaN","NaN","NaN.0"
"2020 - 05","502618","97.9","41","-2.4","11.9","5","25.0","NaN","NaN","NaN.0"
"2020 - 06","503099","90.6","38","-7.3","7.2","3","-40.0","NaN","NaN","NaN.0"
