"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2004 - 12","120323","10","1","0.0","69.8","7","40.0","NaN","NaN","NaN.0"
"2005 - 01","120318","10","1","0.0","19.9","2","-71.4","10","1","NaN.0"
"2005 - 02","120312","49.9","5","400.0","39.9","4","100.0","10","1","0.0"
"2005 - 03","120306","39.9","4","-20.0","29.9","3","-25.0","10","1","0.0"
"2005 - 04","120300","20","2","-50.0","59.9","6","100.0","10","1","0.0"
"2005 - 05","120294","20","2","0.0","69.8","7","16.7","0","0","-100.0"
"2005 - 06","120288","69.8","7","250.0","29.9","3","-57.1","0","0","NaN.0"
"2005 - 07","120282","0","0","-100.0","29.9","3","0.0","10","1","NaN.0"
"2005 - 08","120253","39.9","4","NaN.0","49.9","5","66.7","0","0","-100.0"
"2005 - 09","120224","20","2","-50.0","59.9","6","20.0","0","0","NaN.0"
"2005 - 10","120196","39.9","4","100.0","69.9","7","16.7","0","0","NaN.0"
"2005 - 11","120167","30","3","-25.0","30","3","-57.1","0","0","NaN.0"
"2005 - 12","120138","30","3","0.0","20","2","-33.3","0","0","NaN.0"
"2006 - 01","120109","30","3","0.0","30","3","50.0","0","0","NaN.0"
"2006 - 02","120080","30","3","0.0","30","3","0.0","20","2","NaN.0"
"2006 - 03","120051","30","3","0.0","20","2","-33.3","0","0","-100.0"
"2006 - 04","120023","20","2","-33.3","20","2","0.0","10","1","NaN.0"
"2006 - 05","119994","30","3","50.0","60","6","200.0","0","0","-100.0"
"2006 - 06","119965","50","5","66.7","50","5","-16.7","10","1","NaN.0"
"2006 - 07","119936","50","5","0.0","30","3","-40.0","0","0","-100.0"
"2006 - 08","119925","10","1","-80.0","20","2","-33.3","10","1","NaN.0"
"2006 - 09","119915","20","2","100.0","30","3","50.0","10","1","0.0"
"2006 - 10","119904","70.1","7","250.0","70.1","7","133.3","0","0","-100.0"
"2006 - 11","119893","10","1","-85.7","0","0","-100.0","0","0","NaN.0"
"2006 - 12","119883","20","2","100.0","20","2","NaN.0","10","1","NaN.0"
"2007 - 01","119872","20","2","0.0","20","2","0.0","20","2","100.0"
"2007 - 02","119861","10","1","-50.0","20","2","0.0","0","0","-100.0"
"2007 - 03","119851","0","0","-100.0","10","1","-50.0","0","0","NaN.0"
"2007 - 04","119840","60.1","6","NaN.0","30","3","200.0","0","0","NaN.0"
"2007 - 05","119829","60.1","6","0.0","30","3","0.0","0","0","NaN.0"
"2007 - 06","119819","100.2","10","66.7","90.1","9","200.0","10","1","NaN.0"
"2007 - 07","119808","50.1","5","-50.0","20","2","-77.8","0","0","-100.0"
"2007 - 08","119791","30.1","3","-40.0","20","2","0.0","0","0","NaN.0"
"2007 - 09","119773","70.1","7","133.3","60.1","6","200.0","0","0","NaN.0"
"2007 - 10","119756","10","1","-85.7","0","0","-100.0","0","0","NaN.0"
"2007 - 11","119738","40.1","4","300.0","10","1","NaN.0","0","0","NaN.0"
"2007 - 12","119721","50.1","5","25.0","20","2","100.0","10","1","NaN.0"
"2008 - 01","119703","70.2","7","40.0","60.1","6","200.0","10","1","0.0"
"2008 - 02","119686","20.1","2","-71.4","30.1","3","-50.0","0","0","-100.0"
"2008 - 03","119668","50.1","5","150.0","30.1","3","0.0","10","1","NaN.0"
"2008 - 04","119651","60.2","6","20.0","10","1","-66.7","10","1","0.0"
