"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2010 - 10","516283","30.2","13","-23.5","11.6","5","-16.7","7","3","0.0"
"2010 - 11","516699","30.2","13","0.0","27.9","12","140.0","4.6","2","-33.3"
"2010 - 12","517115","37.1","16","23.1","23.2","10","-16.7","7","3","50.0"
"2011 - 01","517531","34.8","15","-6.2","23.2","10","0.0","7","3","0.0"
"2011 - 02","517946","32.4","14","-6.7","20.9","9","-10.0","9.3","4","33.3"
"2011 - 03","518362","23.1","10","-28.6","23.1","10","11.1","6.9","3","-25.0"
"2011 - 04","518778","41.6","18","80.0","25.4","11","10.0","4.6","2","-33.3"
"2011 - 05","519194","32.4","14","-22.2","20.8","9","-18.2","6.9","3","50.0"
"2011 - 06","519609","30","13","-7.1","27.7","12","33.3","2.3","1","-66.7"
"2011 - 07","520025","32.3","14","7.7","13.8","6","-50.0","4.6","2","100.0"
"2011 - 08","520650","43.8","19","35.7","13.8","6","0.0","0","0","-100.0"
"2011 - 09","521274","46","20","5.3","16.1","7","16.7","13.8","6","NaN.0"
"2011 - 10","521899","34.5","15","-25.0","20.7","9","28.6","4.6","2","-66.7"
"2011 - 11","522523","25.3","11","-26.7","25.3","11","22.2","4.6","2","0.0"
"2011 - 12","523148","32.1","14","27.3","18.4","8","-27.3","4.6","2","0.0"
"2012 - 01","523772","38.9","17","21.4","29.8","13","62.5","0","0","-100.0"
"2012 - 02","524397","34.3","15","-11.8","25.2","11","-15.4","4.6","2","NaN.0"
"2012 - 03","525021","20.6","9","-40.0","6.9","3","-72.7","2.3","1","-50.0"
"2012 - 04","525646","52.5","23","155.6","27.4","12","300.0","6.8","3","200.0"
"2012 - 05","526270","31.9","14","-39.1","25.1","11","-8.3","4.6","2","-33.3"
"2012 - 06","526895","27.3","12","-14.3","18.2","8","-27.3","13.7","6","200.0"
"2012 - 07","527519","22.7","10","-16.7","22.7","10","25.0","6.8","3","-50.0"
"2012 - 08","528124","31.8","14","40.0","15.9","7","-30.0","2.3","1","-66.7"
"2012 - 09","528728","27.2","12","-14.3","15.9","7","0.0","4.5","2","100.0"
"2012 - 10","529333","36.3","16","33.3","13.6","6","-14.3","9.1","4","100.0"
"2012 - 11","529938","47.6","21","31.3","29.4","13","116.7","2.3","1","-75.0"
"2012 - 12","530542","15.8","7","-66.7","13.6","6","-53.8","4.5","2","100.0"
"2013 - 01","531147","24.9","11","57.1","20.3","9","50.0","4.5","2","0.0"
"2013 - 02","531752","29.3","13","18.2","24.8","11","22.2","6.8","3","50.0"
"2013 - 03","532356","20.3","9","-30.8","15.8","7","-36.4","11.3","5","66.7"
"2013 - 04","532961","15.8","7","-22.2","20.3","9","28.6","6.8","3","-40.0"
"2013 - 05","533566","36","16","128.6","11.2","5","-44.4","13.5","6","100.0"
"2013 - 06","534170","31.5","14","-12.5","22.5","10","100.0","4.5","2","-66.7"
"2013 - 07","534775","44.9","20","42.9","22.4","10","0.0","6.7","3","50.0"
"2013 - 08","535376","44.8","20","0.0","24.7","11","10.0","2.2","1","-66.7"
"2013 - 09","535978","29.1","13","-35.0","13.4","6","-45.5","2.2","1","0.0"
"2013 - 10","536579","40.3","18","38.5","26.8","12","100.0","8.9","4","300.0"
"2013 - 11","537180","24.6","11","-38.9","24.6","11","-8.3","4.5","2","-50.0"
"2013 - 12","537781","31.2","14","27.3","33.5","15","36.4","11.2","5","150.0"
"2014 - 01","538383","31.2","14","0.0","13.4","6","-60.0","6.7","3","-40.0"
"2014 - 02","538984","31.2","14","0.0","15.6","7","16.7","6.7","3","0.0"
"2014 - 03","539585","40","18","28.6","20","9","28.6","6.7","3","0.0"
"2014 - 04","540186","28.9","13","-27.8","13.3","6","-33.3","4.4","2","-33.3"
"2014 - 05","540788","28.8","13","0.0","20","9","50.0","6.7","3","50.0"
"2014 - 06","541389","22.2","10","-23.1","24.4","11","22.2","0","0","-100.0"
"2014 - 07","541990","28.8","13","30.0","13.3","6","-45.5","2.2","1","NaN.0"
"2014 - 08","542577","42","19","46.2","28.8","13","116.7","11.1","5","400.0"
"2014 - 09","543163","24.3","11","-42.1","24.3","11","-15.4","4.4","2","-60.0"
"2014 - 10","543750","41.9","19","72.7","17.7","8","-27.3","4.4","2","0.0"
"2014 - 11","544336","44.1","20","5.3","17.6","8","0.0","8.8","4","100.0"
"2014 - 12","544923","17.6","8","-60.0","13.2","6","-25.0","13.2","6","50.0"
"2015 - 01","545510","35.2","16","100.0","22","10","66.7","15.4","7","16.7"
"2015 - 02","546096","33","15","-6.2","13.2","6","-40.0","6.6","3","-57.1"
"2015 - 03","546683","28.5","13","-13.3","15.4","7","16.7","6.6","3","0.0"
"2015 - 04","547269","37.3","17","30.8","13.2","6","-14.3","2.2","1","-66.7"
"2015 - 05","547856","26.3","12","-29.4","21.9","10","66.7","6.6","3","200.0"
"2015 - 06","548442","30.6","14","16.7","19.7","9","-10.0","10.9","5","66.7"
"2015 - 07","549029","30.6","14","0.0","6.6","3","-66.7","8.7","4","-20.0"
"2015 - 08","549697","67.7","31","121.4","17.5","8","166.7","10.9","5","25.0"
"2015 - 09","550365","41.4","19","-38.7","19.6","9","12.5","4.4","2","-60.0"
"2015 - 10","551034","50.1","23","21.1","21.8","10","11.1","6.5","3","50.0"
"2015 - 11","551702","17.4","8","-65.2","13.1","6","-40.0","10.9","5","66.7"
"2015 - 12","552370","52.1","24","200.0","19.6","9","50.0","6.5","3","-40.0"
"2016 - 01","553038","39.1","18","-25.0","19.5","9","0.0","10.8","5","66.7"
"2016 - 02","553706","41.2","19","5.6","8.7","4","-55.6","13","6","20.0"
"2016 - 03","554374","47.6","22","15.8","8.7","4","0.0","2.2","1","-83.3"
"2016 - 04","555043","49.7","23","4.5","23.8","11","175.0","6.5","3","200.0"
