"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2019 - 02","3041446","67.9","172","5.5","10.3","26","52.9","9.9","25","13.6"
"2019 - 03","3045828","98.9","251","45.9","8.7","22","-15.4","15","38","52.0"
"2019 - 04","3050211","94","239","-4.8","9.8","25","13.6","14.9","38","0.0"
"2019 - 05","3054594","94.7","241","0.8","10.2","26","4.0","7.5","19","-50.0"
"2019 - 06","3058976","82.8","211","-12.4","15.7","40","53.8","8.6","22","15.8"
"2019 - 07","3063359","52.1","133","-37.0","9","23","-42.5","7.8","20","-9.1"
"2019 - 08","3067219","50.1","128","-3.8","11.7","30","30.4","5.5","14","-30.0"
"2019 - 09","3071079","48.5","124","-3.1","6.6","17","-43.3","5.5","14","0.0"
"2019 - 10","3074938","46.4","119","-4.0","7.8","20","17.6","8.6","22","57.1"
"2019 - 11","3078798","47.2","121","1.7","9.4","24","20.0","8.2","21","-4.5"
"2019 - 12","3082658","49.4","127","5.0","6.2","16","-33.3","14.8","38","81.0"
"2020 - 01","3086518","60.7","156","22.8","8.2","21","31.3","13.6","35","-7.9"
"2020 - 02","3090377","86.2","222","42.3","10.5","27","28.6","8.2","21","-40.0"
"2020 - 03","3094237","79.9","206","-7.2","11.2","29","7.4","12.8","33","57.1"
"2020 - 04","3098097","78.6","203","-1.5","9.3","24","-17.2","NaN","NaN","NaN.0"
"2020 - 05","3101957","72.7","188","-7.4","14.3","37","54.2","NaN","NaN","NaN.0"
"2020 - 06","3105816","61","158","-16.0","9.3","24","-35.1","NaN","NaN","NaN.0"
